year,"last_name, first_name",avg_speed,pitch_type,pitch_type_name,pitcher_break_z_induced,pitcher_break_x
2018,"Rodríguez, Dereck",90.8,SI,Sinker,13.7,12.5
2018,"Pressly, Ryan",89.8,SL,Slider,0.3,5.7
2018,"Peralta, Wily",96.2,FF,4-Seam Fastball,13.8,10
2018,"Bauer, Trevor",86.7,FC,Cutter,1.1,5.4
2018,"Moylan, Peter",89.4,SI,Sinker,-4,17.6
2018,"deGrom, Jacob",95.5,SI,Sinker,11.7,12
2018,"Mayza, Tim",93.9,FF,4-Seam Fastball,16.2,8.9
2018,"Davis, Austin",93.2,FF,4-Seam Fastball,15.7,7.9
2018,"Gray, Sonny",85,ST,Sweeper,-3.6,14.4
2018,"Jackson, Luke",94.2,FF,4-Seam Fastball,16.8,5.9
2018,"Fillmyer, Heath",84.1,SL,Slider,-0.9,2
2018,"Hudson, Daniel",86.6,SL,Slider,2.8,1.3
2018,"Arrieta, Jake",88,CH,Changeup,2.8,14.7
2018,"Corbin, Patrick",72.5,CU,Curveball,0.1,2.4
2018,"Brice, Austin",93.8,SI,Sinker,3,17.3
2018,"Bailey, Homer",85.8,FS,Split-Finger,6.6,10.6
2018,"Manaea, Sean",78.1,SL,Slider,-0.3,1.8
2018,"Stephens, Jackson",94.1,FF,4-Seam Fastball,13.4,5.4
2018,"Stumpf, Daniel",84.7,SL,Slider,4.4,1.6
2018,"Barraclough, Kyle",78.9,SL,Slider,-5.7,12.8
2018,"Reed, Cody",86.7,SL,Slider,0.1,4.4
2018,"Rodriguez, Eduardo",93.2,SI,Sinker,10.4,15.6
2018,"Stanek, Ryne",89,SL,Slider,2.8,1.7
2018,"Erlin, Robbie",76.4,CU,Curveball,-15.3,2.7
2018,"Herrera, Kelvin",96.6,FF,4-Seam Fastball,14.9,8.1
2018,"Harvey, Matt",87.1,CH,Changeup,10.2,14.5
2018,"Musgrove, Joe",92,SI,Sinker,6.1,10.5
2018,"Tazawa, Junichi",91.5,FF,4-Seam Fastball,16.5,8.3
2018,"Norris, Daniel",83.1,SL,Slider,-1.7,6.3
2018,"Cessa, Luis",94.8,FF,4-Seam Fastball,15.4,7.8
2018,"Suárez, Andrew",85.9,CH,Changeup,9.9,14.1
2018,"Bieber, Shane",80,CU,Curveball,-13.6,7.1
2018,"Flaherty, Jack",77.2,CU,Curveball,-11.4,13.3
2018,"McHugh, Collin",79.6,ST,Sweeper,-2.7,17.1
2018,"Bundy, Dylan",83.7,CH,Changeup,11.9,12.4
2018,"Norris, Bud",94.6,SI,Sinker,15.3,13.1
2018,"Watson, Tony",85.5,CH,Changeup,8,19.6
2018,"Knebel, Corey",81.6,CU,Curveball,-16.3,10
2018,"Butler, Eddie",93.6,FF,4-Seam Fastball,16.9,9
2018,"Richards, Trevor",80.5,SL,Slider,-3.3,1.7
2018,"Lester, Jon",84.9,CH,Changeup,5.6,14
2018,"McCarthy, Brandon",80.2,CU,Curveball,-10.5,12.1
2018,"Tropeano, Nick",79.7,SL,Slider,1,1.6
2018,"Chafin, Andrew",93.4,SI,Sinker,12.1,14.3
2018,"Wisler, Matt",81.8,SL,Slider,0,8.2
2018,"Wright Jr., Mike",92.1,SI,Sinker,8.2,16.4
2018,"Skoglund, Eric",81.1,CU,Curveball,-4,4.5
2018,"Guerra, Junior",83.8,SL,Slider,-0.3,5.2
2018,"Skaggs, Tyler",84.2,CH,Changeup,7.2,8.9
2018,"Arrieta, Jake",80.7,CU,Curveball,-11.8,13.5
2018,"Wacha, Michael",89.4,FC,Cutter,10.7,2.7
2018,"Kuhl, Chad",88.1,SL,Slider,1.7,5.1
2018,"Fry, Jace",88.3,FC,Cutter,0.6,1.7
2018,"Maurer, Brandon",85,SL,Slider,-5.9,5.5
2018,"Buehler, Walker",80.2,CU,Curveball,-15.1,8.2
2018,"Castillo, José",83.3,SL,Slider,-1.1,8.2
2018,"Rodón, Carlos",85.1,CH,Changeup,5.6,15.2
2018,"Cahill, Trevor",80.3,CU,Curveball,-11.2,8.6
2018,"Brach, Brad",85.9,CH,Changeup,0.4,13.8
2018,"Márquez, Germán",94.1,SI,Sinker,8.6,13.6
2018,"Avilán, Luis",90.5,SI,Sinker,11.4,14.9
2018,"Rodríguez, Richard",80.9,SL,Slider,-4.1,3.6
2018,"Hicks, Jordan",86.2,SL,Slider,-1.4,11.6
2018,"Johnson, Jim",79.1,CU,Curveball,-11,2.2
2018,"Floro, Dylan",86.9,SL,Slider,5.4,2
2018,"Loáisiga, Jonathan",95.9,FF,4-Seam Fastball,16.3,5.4
2018,"Jackson, Edwin",93.3,FF,4-Seam Fastball,14.5,6.9
2018,"Fry, Paul",83.7,SL,Slider,-4.1,15.5
2018,"Senzatela, Antonio",83,SL,Slider,-1.8,6.5
2018,"Darvish, Yu",94.1,FF,4-Seam Fastball,16.2,5.3
2018,"Minor, Mike",80.5,CU,Curveball,-7.9,5
2018,"Robles, Hansel",88,SL,Slider,4.8,0.5
2018,"Ríos, Yacksel",95.9,SI,Sinker,11.8,14.9
2018,"Martinez, Carlos",86.8,CH,Changeup,-1.1,14.8
2018,"Skaggs, Tyler",90.8,SI,Sinker,13.6,13.6
2018,"Valdez, Framber",91.7,SI,Sinker,3.2,15.4
2018,"Scherzer, Max",78.4,CU,Curveball,-6.3,8
2018,"Flynn, Brian",92.2,FF,4-Seam Fastball,13.2,7.2
2018,"Kluber, Corey",92,FF,4-Seam Fastball,14.4,6.7
2018,"Erlin, Robbie",84.3,CH,Changeup,11.2,8.2
2018,"Greene, Shane",81.2,ST,Sweeper,2.1,15.9
2018,"Bracho, Silvino",93.2,FF,4-Seam Fastball,15.7,4.7
2018,"López, Jorge",93.5,SI,Sinker,9,16.2
2018,"Fiers, Mike",89.2,SI,Sinker,14.3,14.2
2018,"Berríos, José",83.7,CH,Changeup,3.8,14.6
2018,"Iglesias, Raisel",87.6,CH,Changeup,4.7,16.7
2018,"Peralta, Freddy",76.4,CU,Curveball,-10.3,6.7
2018,"Elías, Roenis",94.3,FF,4-Seam Fastball,17.3,7.7
2018,"Crick, Kyle",81.5,SL,Slider,-2.5,18.2
2018,"Hernández, Félix",89.6,FF,4-Seam Fastball,14.1,4.8
2018,"Hader, Josh",81.9,SL,Slider,3.9,5.8
2018,"Gomber, Austin",77.9,CU,Curveball,-12.4,5.7
2018,"Stroman, Marcus",90.7,FC,Cutter,7.1,1.7
2018,"Wilson, Alex",92,SI,Sinker,14,11.7
2018,"Mayza, Tim",86.1,SL,Slider,2.6,1.7
2018,"Bailey, Homer",93.1,SI,Sinker,11.7,13.9
2018,"Teheran, Julio",82.6,CH,Changeup,7.3,14.6
2018,"Lynn, Lance",80,CU,Curveball,-10.7,8.5
2018,"Cimber, Adam",87.2,FF,4-Seam Fastball,2.6,16.1
2018,"Kolarek, Adam",89.6,SI,Sinker,-3.7,18.9
2018,"Snell, Blake",88,SL,Slider,2.5,4.9
2018,"Hammel, Jason",91.9,FF,4-Seam Fastball,15.4,7.9
2018,"Yarbrough, Ryan",76.6,ST,Sweeper,2.9,11.8
2018,"Archer, Chris",94.8,SI,Sinker,14.6,11.9
2018,"Brault, Steven",87,FC,Cutter,4.3,3.8
2018,"Duffy, Danny",76.2,CU,Curveball,-15.4,8.1
2018,"Peralta, Wandy",87.3,CH,Changeup,5.3,15.6
2018,"Belisle, Matt",90.3,FF,4-Seam Fastball,14.3,7.1
2018,"Rodney, Fernando",94.7,FF,4-Seam Fastball,17.6,6.4
2018,"Bibens-Dirkx, Austin",89.4,FF,4-Seam Fastball,14.8,13.5
2018,"Strop, Pedro",88.6,FC,Cutter,4.9,2.4
2018,"Robertson, David",84.8,SL,Slider,0.6,9.6
2018,"Ramírez, Yefry",87.4,SL,Slider,7.4,1.7
2018,"Plutko, Adam",81.8,SL,Slider,5.5,5.4
2018,"Pruitt, Austin",87.9,SL,Slider,4,2.5
2018,"Saupold, Warwick",91.6,FF,4-Seam Fastball,13.3,13.6
2018,"Wainwright, Adam",73.6,CU,Curveball,-12.8,19
2018,"Reed, Addison",83.9,SL,Slider,3.8,5.9
2018,"Anderson, Chase",88.6,FC,Cutter,12,2.3
2018,"Rosario, Randy",85.9,SL,Slider,0.8,3.9
2018,"Osuna, Roberto",95.2,FF,4-Seam Fastball,19.1,5.9
2018,"Ramos, Edubray",93.3,FF,4-Seam Fastball,14.4,4.9
2018,"Peters, Dillon",90.8,FF,4-Seam Fastball,14.4,1.2
2018,"Beck, Chris",95.2,FF,4-Seam Fastball,15.8,6.7
2018,"Germán, Domingo",94.7,SI,Sinker,7.9,17.5
2018,"Biddle, Jesse",76.9,CU,Curveball,-14.9,12.5
2018,"Tomlin, Josh",75.1,CU,Curveball,-12.2,10.3
2018,"Swarzak, Anthony",93.9,FF,4-Seam Fastball,17.7,7.1
2018,"VerHagen, Drew",86,SL,Slider,-0.8,7.5
2018,"Treinen, Blake",89.2,SL,Slider,-4.1,4.9
2018,"Hildenberger, Trevor",78.4,SL,Slider,-4.2,6.1
2018,"Anderson, Justin",97.2,FF,4-Seam Fastball,16.8,7.3
2018,"Norris, Bud",94.4,FF,4-Seam Fastball,17.6,5.5
2018,"Chen, Wei-Yin",83,CH,Changeup,11.5,10.2
2018,"Velasquez, Vince",92.5,SI,Sinker,7.9,13.7
2018,"Holland, Derek",82.9,CH,Changeup,14.2,12
2018,"Strop, Pedro",83.8,SL,Slider,-1.6,4.1
2018,"Maurer, Brandon",96.1,FF,4-Seam Fastball,16.5,8.7
2018,"deGrom, Jacob",82.7,CU,Curveball,-4.2,6.6
2018,"Hernández, Elieser",80.3,SL,Slider,3,6.6
2018,"Brasier, Ryan",96.8,FF,4-Seam Fastball,16.3,5.4
2018,"Kittredge, Andrew",93,FF,4-Seam Fastball,15.6,8.5
2018,"Greene, Shane",88.3,FC,Cutter,5.8,7.4
2018,"Jiménez, Joe",85.4,SL,Slider,2.9,6.4
2018,"Sabathia, CC",83.4,CH,Changeup,7.3,9.1
2018,"García, Jarlín",85.7,CH,Changeup,7.7,18.6
2018,"Ramírez, Neil",95.2,FF,4-Seam Fastball,18.1,5.8
2018,"Workman, Brandon",91.2,FF,4-Seam Fastball,16.3,3.8
2018,"Gomber, Austin",88.7,SL,Slider,9.7,2.7
2018,"Ramírez, Erasmo",89.7,SI,Sinker,8.7,15.2
2018,"Musgrove, Joe",89.4,FC,Cutter,7.1,3.2
2018,"Richards, Garrett",95.9,SI,Sinker,10.4,8.5
2018,"Domínguez, Seranthony",88.9,SL,Slider,0.4,5.5
2018,"García, Luis",97.2,SI,Sinker,9.7,14.3
2018,"Lively, Ben",91.2,FF,4-Seam Fastball,16.5,6.3
2018,"Chargois, JT",85.5,SL,Slider,-3.7,2
2018,"López, Pablo",92,SI,Sinker,5.2,15
2018,"Butler, Eddie",93.5,SI,Sinker,12.7,15.6
2018,"Vargas, Jason",73.5,CU,Curveball,-9.7,10.7
2018,"Stratton, Chris",84,CH,Changeup,4.9,12.1
2018,"Hill, Tim",91.5,FF,4-Seam Fastball,2.5,17.4
2018,"Archer, Chris",87.6,CH,Changeup,8.8,12.6
2018,"Colon, Bartolo",80.8,CH,Changeup,7.7,13.8
2018,"Pivetta, Nick",94.7,SI,Sinker,13.7,13.8
2018,"Musgrave, Harrison",90.9,SI,Sinker,12.3,11.2
2018,"Petit, Yusmeiro",85.3,FC,Cutter,15.5,0.7
2018,"Pérez, Martín",84.1,CH,Changeup,10.3,14.7
2018,"Buchholz, Clay",90,SI,Sinker,10.6,14.3
2018,"Petit, Yusmeiro",81.9,CH,Changeup,15.5,9.5
2018,"Bundy, Dylan",74.5,CU,Curveball,-12.8,8.8
2018,"Rondón, Bruce",96.5,FF,4-Seam Fastball,16.5,6.2
2018,"Bradford, Chasen",91.1,FF,4-Seam Fastball,12.6,2.1
2018,"Montas, Frankie",86.1,SL,Slider,3.5,4.5
2018,"Buchholz, Clay",75.8,CU,Curveball,-11.5,13.3
2018,"Grace, Matt",82.6,SL,Slider,1.7,4.3
2018,"Holmes, Clay",94.2,SI,Sinker,6.4,15.1
2018,"Moya, Gabriel",81.3,CH,Changeup,7.6,10.5
2018,"Richard, Clayton",90.3,FF,4-Seam Fastball,12.7,12.2
2018,"Bettis, Chad",75.6,CU,Curveball,-4.4,10.1
2018,"Moore, Matt",83.5,CH,Changeup,7.7,16
2018,"Miller, Justin",86.1,SL,Slider,0.6,7.5
2018,"Eflin, Zach",93,SI,Sinker,7.7,16.5
2018,"Buchholz, Clay",77.3,CH,Changeup,6.3,9.2
2018,"Covey, Dylan",86.8,SL,Slider,2.4,4.2
2018,"Miley, Wade",75.6,CU,Curveball,-13.3,7.5
2018,"Sale, Chris",93.2,SI,Sinker,4.3,19.4
2018,"Rondón, Bruce",86.3,SL,Slider,-0.6,3.3
2018,"Davis, Wade",83.3,CU,Curveball,-10.4,6.8
2018,"Germán, Domingo",87.4,CH,Changeup,9.4,17.7
2018,"Rodón, Carlos",93.3,SI,Sinker,11.1,13.9
2018,"Smith, Joe",78.6,SL,Slider,8.9,15
2018,"Workman, Brandon",80.5,CU,Curveball,-16.8,5.7
2018,"Smith, Burch",81.5,CH,Changeup,12.5,11.5
2018,"Romero, Fernando",86.7,SL,Slider,-0.4,2.1
2018,"Carle, Shane",86.9,SL,Slider,2.3,3.1
2018,"López, Jorge",81.1,CU,Curveball,-11.5,6.4
2018,"Syndergaard, Noah",83.1,CU,Curveball,-0.8,8.5
2018,"Cimber, Adam",78.5,SL,Slider,4.1,2
2018,"Miller, Andrew",93,FF,4-Seam Fastball,14.5,7.2
2018,"Peralta, Wandy",95.3,SI,Sinker,11.1,15.7
2018,"Arano, Víctor",93.9,FF,4-Seam Fastball,16.3,11.6
2018,"Mengden, Daniel",91.6,SI,Sinker,15.4,12.3
2018,"Chavez, Jesse",92.7,FF,4-Seam Fastball,16.2,10.2
2018,"Chapman, Aroldis",86.2,SL,Slider,2.5,10.5
2018,"Mahle, Tyler",83.4,CH,Changeup,8.9,11.5
2018,"Anderson, Brett",83.5,CH,Changeup,9.1,14.3
2018,"Hutchison, Drew",82.3,SL,Slider,-4.4,5
2018,"Trivino, Lou",97.7,SI,Sinker,9.1,16
2018,"Duensing, Brian",91.3,FF,4-Seam Fastball,14.2,4.5
2018,"García, Jarlín",85.1,SL,Slider,6.4,3.6
2018,"Tropeano, Nick",89.9,SI,Sinker,11.2,17.9
2018,"Rusin, Chris",87.6,FC,Cutter,6.7,0.7
2018,"Hendricks, Kyle",71.8,CU,Curveball,-11.9,14.9
2018,"Johnson, Pierce",81.3,CU,Curveball,-8.9,13.6
2018,"Stammen, Craig",86.8,FC,Cutter,5.3,2
2018,"Oswalt, Corey",89.8,SI,Sinker,10.9,14.3
2018,"Eovaldi, Nathan",88.2,FS,Split-Finger,2.1,10.6
2018,"Mengden, Daniel",82.1,CH,Changeup,8.1,16.2
2018,"Ryu, Hyun Jin",81.1,CH,Changeup,7.5,12.8
2018,"Pérez, Martín",92.8,FF,4-Seam Fastball,15.9,9.2
2018,"Smith, Joe",88,FF,4-Seam Fastball,5.5,17.7
2018,"Gaviglio, Sam",82.8,CH,Changeup,5.4,13.3
2018,"Stock, Robert",82.7,SL,Slider,-0.4,12.4
2018,"Boyd, Matthew",78.6,CH,Changeup,10.2,10.3
2018,"Matz, Steven",88.2,SL,Slider,4.7,0.8
2018,"Moya, Gabriel",89.7,FF,4-Seam Fastball,15.8,7.7
2018,"Tuivailala, Sam",95.3,SI,Sinker,10.8,16.1
2018,"Eflin, Zach",86.6,CH,Changeup,6.9,14.1
2018,"Bradford, Chasen",90.4,SI,Sinker,7.4,10.8
2018,"Vázquez, Felipe",88.4,CH,Changeup,0.7,13.3
