year,"last_name, first_name",avg_speed,pitch_type,pitch_type_name
2024,"Suárez, Ranger",86.5,FC,Cutter
2024,"Matsui, Yuki",86,SL,Slider
2024,"Morton, Charlie",93.6,SI,Sinker
2024,"Lee, Dylan",92.4,FF,4-Seam Fastball
2024,"Saucedo, Tayler",91.3,SI,Sinker
2024,"Treinen, Blake",83.9,ST,Sweeper
2024,"Herz, DJ",86.1,SL,Slider
2024,"Francis, Bowden",73.5,CU,Curveball
2024,"Buttó, José",93.5,SI,Sinker
2024,"Chavez, Jesse",90.7,SI,Sinker
2024,"Pressly, Ryan",89.6,SL,Slider
2024,"Iglesias, Raisel",95.6,FF,4-Seam Fastball
2024,"Keller, Brad",93.8,FF,4-Seam Fastball
2024,"Snider, Collin",94.2,FF,4-Seam Fastball
2024,"Buehler, Walker",91.2,FC,Cutter
2024,"Herrin, Tim",87.6,SL,Slider
2024,"Liberatore, Matthew",95.4,SI,Sinker
2024,"Hendricks, Kyle",74.3,CU,Curveball
2024,"Rodríguez, Manuel",89.3,SL,Slider
2024,"Farmer, Buck",92.5,SI,Sinker
2024,"Kimbrel, Craig",84.3,CU,Curveball
2024,"Sims, Lucas",94.2,FF,4-Seam Fastball
2024,"Duran, Jhoan",97,FS,Split-Finger
2024,"Vásquez, Randy",82.2,CU,Curveball
2024,"Roycroft, Chris",96,SI,Sinker
2024,"Gore, MacKenzie",85.9,CH,Changeup
2024,"Woodford, Jake",91.5,SI,Sinker
2024,"Estes, Joey",81.7,SL,Slider
2024,"Blach, Ty",80,CH,Changeup
2024,"Bellozo, Valente",82.8,FC,Cutter
2024,"Thielbar, Caleb",81.5,ST,Sweeper
2024,"Gibson, Kyle",84.9,CH,Changeup
2024,"Schwellenbach, Spencer",80.6,CU,Curveball
2024,"Floro, Dylan",83.3,SL,Slider
2024,"Cortes, Nestor",83.6,CH,Changeup
2024,"McKenzie, Triston",85.4,SL,Slider
2024,"Howard, Spencer",93.8,FF,4-Seam Fastball
2024,"Spiers, Carson",92.1,SI,Sinker
2024,"Taillon, Jameson",92.5,SI,Sinker
2024,"Martinez, Seth",90.8,FF,4-Seam Fastball
2024,"Keller, Mitch",78.3,CU,Curveball
2024,"Povich, Cade",76.3,CU,Curveball
2024,"Hendricks, Kyle",87.7,FF,4-Seam Fastball
2024,"Elder, Bryce",83.6,SL,Slider
2024,"Criswell, Cooper",86.4,FC,Cutter
2024,"McCaughan, Darren",81.9,ST,Sweeper
2024,"Williams, Gavin",79.5,CU,Curveball
2024,"Moore, Matt",82.8,CH,Changeup
2024,"Arrighetti, Spencer",80.8,ST,Sweeper
2024,"Vodnik, Victor",84.6,SL,Slider
2024,"Keller, Mitch",87.5,SL,Slider
2024,"Keller, Brad",86,SL,Slider
2024,"Buttó, José",87.1,CH,Changeup
2024,"Abbott, Andrew",80.8,CU,Curveball
2024,"Chargois, JT",95,SI,Sinker
2024,"Vásquez, Randy",94.2,SI,Sinker
2024,"Long, Sam",94.3,FF,4-Seam Fastball
2024,"Contreras, Roansy",85,SL,Slider
2024,"Uceta, Edwin",94.2,FF,4-Seam Fastball
2024,"Banda, Anthony",96.1,FF,4-Seam Fastball
2024,"Martinez, Seth",79.1,ST,Sweeper
2024,"Blackburn, Paul",89.1,FC,Cutter
2024,"Bradish, Kyle",95.3,SI,Sinker
2024,"Vieira, Thyago",88.3,SL,Slider
2024,"Sandlin, Nick",84.8,FS,Split-Finger
2024,"Scott, Tayler",84,ST,Sweeper
2024,"Nastrini, Nick",84.5,SL,Slider
2024,"Garrett, Reed",88.2,FS,Split-Finger
2024,"Yarbrough, Ryan",86.6,FF,4-Seam Fastball
2024,"Lugo, Seth",90,FC,Cutter
2024,"Schmidt, Clarke",83.8,CU,Curveball
2024,"Erceg, Lucas",85.7,SL,Slider
2024,"Cleavinger, Garrett",96.4,FF,4-Seam Fastball
2024,"Civale, Aaron",92,FF,4-Seam Fastball
2024,"Webb, Jacob",82.8,ST,Sweeper
2024,"Blalock, Bradley",93.5,FF,4-Seam Fastball
2024,"Anderson, Nick",81.7,CU,Curveball
2024,"Lambert, Peter",87,CH,Changeup
2024,"Rainey, Tanner",86.6,SL,Slider
2024,"Brazobán, Huascar",90.3,CH,Changeup
2024,"Kelly, Zack",82.2,ST,Sweeper
2024,"Maeda, Kenta",80.3,ST,Sweeper
2024,"Tyler, Kyle",90.3,FC,Cutter
2024,"Morgan, Eli",92.2,FF,4-Seam Fastball
2024,"Feltner, Ryan",79.2,CU,Curveball
2024,"Cleavinger, Garrett",90.8,FC,Cutter
2024,"Birdsong, Hayden",80.5,CU,Curveball
2024,"Ginn, J.T.",92.9,SI,Sinker
